position ( [ 18 , 20 ] )
revealed ( [ 19 , 20 ] )
revealed ( [ 19 , 21 ] )
revealed ( [ 19 , 22 ] )
revealed ( [ 20 , 18 ] )
revealed ( [ 20 , 19 ] )
revealed ( [ 20 , 20 ] )
revealed ( [ 20 , 21 ] )
revealed ( [ 20 , 22 ] )
revealed ( [ 21 , 20 ] )
collected ( [ 6 , 5 ] )
collected ( [ 7 , 6 ] )
collected ( [ 8 , 7 ] )
collected ( [ 9 , 9 ] )
collected ( [ 14 , 19 ] )
collected ( [ 14 , 20 ] )
emerging ( [ 3 , 2 ] , [ 3 , 2 ] , [ 3 , 1 ] , [ 3 , -1 ] )
emerging ( [ 3 , 6 ] , [ 3 , 6 ] , [ 2 , 6 ] , [ 0 , 6 ] )
emerging ( [ 10 , 18 ] , [ 10 , 18 ] , [ 10 , 18 ] , [ 7 , 18 ] )
emerging ( [ 11 , 6 ] , [ 11 , 6 ] , [ 11 , 5 ] , [ 11 , 3 ] )
disappearing ( [ 16 , 21 ] , [ 14 , 21 ] , [ 14 , 21 ] , [ 13 , 21 ] )
disappearing ( [ 19 , 18 ] , [ 16 , 18 ] , [ 16 , 18 ] , [ 16 , 18 ] )
